class,label
antelope,0
grizzly bear,1
killer whale,2
beaver,3
dalmatian,4
persian cat,5
horse,6
german shepherd,7
blue whale,8
siamese cat,9
skunk,10
mole,11
tiger,12
hippopotamus,13
leopard,14
moose,15
spider monkey,16
humpback whale,17
elephant,18
gorilla,19
ox,20
fox,21
sheep,22
seal,23
chimpanzee,24
hamster,25
squirrel,26
rhinoceros,27
rabbit,28
bat,29
giraffe,30
wolf,31
chihuahua,32
rat,33
weasel,34
otter,35
buffalo,36
zebra,37
giant panda,38
deer,39
bobcat,40
pig,41
lion,42
mouse,43
polar bear,44
collie,45
walrus,46
raccoon,47
cow,48
dolphin,49
